_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68ee7b74c2c5004cd42ec017,false,93.59,91.67,105.59,82.3,117;8;0;2,time,15,-1,3,15,0,9.29,false,false,english,,normal,false,false,false,,1760459636000
68ee7b54c2c5004cd42ebe2f,false,111.99,98.62,115.99,86.56,140;1;0;1,time,15,-1,14,15,0,56.59,false,false,english,,normal,false,false,false,,1760459604000
68ebd063c2c5004cd415fd1c,false,109.5,96.13,123.88,89.6,137;3;0;1,time,15,-1,6,15.01,0,45.17,false,false,english,,normal,false,false,false,,1760284771000
68ebd021c2c5004cd415fa7c,false,99.19,94.29,111.19,84.03,124;5;0;0,time,15,-1,37,15,0,167.89,false,false,english,,normal,false,false,false,,1760284705000
68ebcf2fc2c5004cd415f134,false,110.37,95.95,118.37,84.8,138;4;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1760284463000
68ebcf1fc2c5004cd415f0a0,false,102.4,92.14,112,83.56,128;9;0;3,time,15,-1,2,15,0,7.09,false,false,english,,normal,false,false,false,,1760284447000
68ea03bec2c5004cd40889ba,false,123.99,95.24,134.39,87.29,155;4;0;4,time,15,-1,2,15,0,5.42,false,false,english,,normal,false,false,false,,1760166846000
68e9d1a9c2c5004cd40740e2,false,67.19,98.82,67.19,70.71,84;0;0;0,time,15,-1,13,15,0,36.59,false,false,english,,normal,false,false,false,,1760154025000
68e9d09bc2c5004cd40739c4,false,85.6,99.07,85.6,80.23,107;0;0;0,time,15,-1,2,15,0,2.59,false,false,english,,normal,false,false,false,,1760153755000
68e9d086c2c5004cd4073922,false,68.79,96.67,68.79,68.38,86;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1760153734000
68e7473dc2c5004cd4ef3b35,false,105.6,92.9,124,91.59,132;6;1;2,time,15,-1,2,15,0,7.13,false,false,english,,normal,false,false,false,,1759987517000
68e74723c2c5004cd4ef3a4f,false,102.4,95.89,116.8,80.7,128;3;0;2,time,15,-1,1,15,0,0.71,false,false,english,,normal,false,false,false,,1759987491000
68e746f6c2c5004cd4ef38f3,false,110.38,96.75,123.18,87.96,138;2;0;2,time,15,-1,3,15,0,5.23,false,false,english,,normal,false,false,false,,1759987446000
68e4d701c2c5004cd4d6e70f,false,108.69,97.2,114.28,83.36,136;2;0;2,time,15,-1,38,15.02,0,133.29,false,false,english,,normal,false,false,false,,1759827713000
68e48353c2c5004cd4d43438,false,119.98,98.09,125.58,89.61,150;2;0;0,time,15,-1,6,15,0,14.64,false,false,english,,normal,false,false,false,,1759806291000
68e48330c2c5004cd4d43365,false,101.6,93.29,116,74.15,127;2;1;2,time,15,-1,7,15,0,11.48,false,false,english,,normal,false,false,false,,1759806256000
68e48009c2c5004cd4d41c68,false,117.6,94.44,124.8,73.34,147;3;0;0,time,15,-1,19,15,0,62.68,false,false,english,,normal,false,false,false,,1759805449000
68e47f94c2c5004cd4d418ff,false,111.19,93.55,123.98,90.22,139;7;1;1,time,15,-1,6,15,0,24.48,false,false,english,,normal,false,false,false,,1759805332000
68e47f66c2c5004cd4d4176e,false,103.19,93.33,118.39,68.81,129;5;0;1,time,15,-1,4,15,0,17.65,false,false,english,,normal,false,false,false,,1759805286000
68e32906c2c5004cd4c7664a,false,101.6,92.62,118.4,77.2,127;7;0;1,time,15,-1,6,15,0,20.25,false,false,english,,normal,false,false,false,,1759717638000
68e2bef5c2c5004cd4c4ee96,false,107.99,98.56,111.19,87.25,135;1;0;1,time,15,-1,2,15,0,11.48,false,false,english,,normal,false,false,false,,1759690485000
68e2bed6c2c5004cd4c4edb5,false,103.99,95.62,109.59,82.18,130;5;0;1,time,15,-1,2,15,0,7.45,false,false,english,,normal,false,false,false,,1759690454000
68e2be66c2c5004cd4c4ea7c,false,100,92.09,111.2,84.01,125;7;1;2,time,15,-1,1,15,0,11.05,false,false,english,,normal,false,false,false,,1759690342000
68e289edc2c5004cd4c30b93,false,115.98,100,115.98,85.05,145;0;0;0,time,15,-1,14,15,0,49.97,false,false,english,,normal,false,false,false,,1759676909000
68e28966c2c5004cd4c3066f,false,102.38,94.24,111.18,87.25,128;6;0;1,time,15,-1,7,15,0,19.6,false,false,english,,normal,false,false,false,,1759676774000
68e246abc2c5004cd4c0d0ab,false,104.6,95.05,112.8,81.91,523;17;1;7,time,60,-1,1,60,0,0.65,false,false,english,,normal,false,false,false,,1759659691000
68e201e5c2c5004cd4bee042,false,101.93,91.44,118.52,80.47,510;31;2;6,time,60,-1,12,60.04,0,55.57,false,false,english,,normal,false,false,false,,1759642085000
68e2014fc2c5004cd4bedc89,false,92.4,91.5,105.4,75.66,462;17;6;4,time,60,-1,2,60,0,4.9,false,false,english,,normal,false,false,false,,1759641935000
68e200f9c2c5004cd4beda67,false,105.59,96.35,108.79,79.28,132;3;0;1,time,15,-1,13,15,0,63.27,false,false,english,,normal,false,false,false,,1759641849000
68e11fb0c2c5004cd4b90ff9,false,83.95,88.8,99.94,80.08,105;6;5;2,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1759584176000
68e11f9fc2c5004cd4b90f5b,false,95.19,97.64,101.59,74.17,119;2;0;0,time,15,-1,2,15,0,1.84,false,false,english,,normal,false,false,false,,1759584159000
68e11f89c2c5004cd4b90e87,false,78.39,87.8,98.39,65.17,98;10;0;2,time,15,-1,12,15,0,58.02,false,false,english,,normal,false,false,false,,1759584137000
68e11f2ac2c5004cd4b90b50,false,98.33,96.95,103.92,79.75,123;2;0;0,time,15,-1,42,15.01,0,158.62,false,false,english,,normal,false,false,false,,1759584042000
68e11dffc2c5004cd4b9018e,false,108.79,97.26,116.78,83.03,136;1;1;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1759583743000
68e11ca6c2c5004cd4b8f604,false,91.19,94.07,105.59,81.41,114;4;0;2,time,15,-1,23,15,0,94.22,false,false,english,,normal,false,false,false,,1759583398000
68e119b9c2c5004cd4b8ddb0,false,103.19,96.32,108.79,88.28,129;3;0;1,time,15,-1,1,15,0,12.07,false,false,english,,normal,false,false,false,,1759582649000
68e11998c2c5004cd4b8dc90,false,91.99,93.75,100.79,81.41,115;3;1;1,time,15,-1,6,15,0,29.32,false,false,english,,normal,false,false,false,,1759582616000
68e11943c2c5004cd4b8d9da,false,96,94.16,109.6,78.9,120;5;0;4,time,15,-1,5,15,0,12.1,false,false,english,,normal,false,false,false,,1759582531000
